seed,variant,drop_rate,dpr_pct,sync_pct,delivery_pct,delivered_bytes,energy_kj,tokens_generated,ips_score,llm_fallbacks,injections_generated,injections_rejected,gate_pass_rate,drift_failures
45,A2: No Compression,0.5,100.0,31.18,46.35,11408135,570.407,0,1.0,0,0,0,1.0,0
45,A2: No Compression,0.6,100.0,21.63,37.12,6857690,342.885,0,1.0,0,0,0,1.0,0
45,A2: No Compression,0.7,100.0,13.25,27.22,3574605,178.73,0,1.0,0,0,0,1.0,0
45,A2: No Compression,0.8,100.0,7.31,18.24,1559895,77.995,0,1.0,0,0,0,1.0,0
45,A3: No Relay Routing,0.0,99.65,74.36,94.73,30510721,1526.287,75060,0.9937,2502,0,0,0.9748,63
45,A3: No Relay Routing,0.1,99.62,73.01,90.15,27227348,1362.118,75060,0.9937,2502,0,0,0.9748,63
45,A3: No Relay Routing,0.2,99.67,67.67,84.3,22045682,1103.035,75060,0.9937,2502,0,0,0.9748,63
45,A3: No Relay Routing,0.3,99.67,60.52,77.39,17674389,884.47,75060,0.9937,2502,0,0,0.9748,63
45,A3: No Relay Routing,0.4,99.64,56.59,72.74,15410272,771.264,75060,0.9937,2502,0,0,0.9748,63
45,A3: No Relay Routing,0.5,99.63,52.25,67.55,13236541,662.578,75060,0.9937,2502,0,0,0.9748,63
45,A3: No Relay Routing,0.6,99.63,46.06,61.77,10780953,539.798,75060,0.9937,2502,0,0,0.9748,63
45,A3: No Relay Routing,0.7,99.63,40.07,55.79,8778947,439.698,75060,0.9937,2502,0,0,0.9748,63
45,A3: No Relay Routing,0.8,99.66,34.93,50.83,7119375,356.719,75060,0.9937,2502,0,0,0.9748,63
45,A4: No Verification Gate,0.0,99.66,76.55,95.27,32452476,1623.374,75060,1.0,2502,0,0,1.0,0
45,A4: No Verification Gate,0.1,99.66,71.98,89.77,27426521,1372.077,75060,1.0,2502,0,0,1.0,0
45,A4: No Verification Gate,0.2,99.64,68.96,85.59,23309427,1166.222,75060,1.0,2502,0,0,1.0,0
45,A4: No Verification Gate,0.3,99.64,61.99,78.33,18700656,935.783,75060,1.0,2502,0,0,1.0,0
45,A4: No Verification Gate,0.4,99.63,55.9,72.23,15496288,775.565,75060,1.0,2502,0,0,1.0,0
45,A4: No Verification Gate,0.5,99.64,52.6,67.69,13655004,683.501,75060,1.0,2502,0,0,1.0,0
45,A4: No Verification Gate,0.6,99.69,48.13,63.02,11703232,585.912,75060,1.0,2502,0,0,1.0,0
45,A4: No Verification Gate,0.7,99.61,41.28,56.83,9330597,467.28,75060,1.0,2502,0,0,1.0,0
45,A4: No Verification Gate,0.8,99.6,36.4,51.63,7697964,385.649,75060,1.0,2502,0,0,1.0,0
46,Full Agentic SLM,0.0,99.64,83.47,96.37,34852978,1743.399,75000,0.9936,2500,0,0,0.976,60
46,Full Agentic SLM,0.1,99.65,76.63,89.36,27811953,1391.348,75000,0.9936,2500,0,0,0.976,60
46,Full Agentic SLM,0.2,99.65,72.89,84.57,23508141,1176.157,75000,0.9936,2500,0,0,0.976,60
46,Full Agentic SLM,0.3,99.61,65.66,77.73,18774356,939.468,75000,0.9936,2500,0,0,0.976,60
46,Full Agentic SLM,0.4,99.63,61.2,72.78,16248676,813.184,75000,0.9936,2500,0,0,0.976,60
46,Full Agentic SLM,0.5,99.62,57.28,67.99,14126018,707.051,75000,0.9936,2500,0,0,0.976,60
46,Full Agentic SLM,0.6,99.65,52.17,63.42,12122644,606.882,75000,0.9936,2500,0,0,0.976,60
46,Full Agentic SLM,0.7,99.67,45.18,57.55,9763158,488.908,75000,0.9936,2500,0,0,0.976,60
46,Full Agentic SLM,0.8,99.65,38.7,51.86,7820116,391.756,75000,0.9936,2500,0,0,0.976,60
46,A1: No Link Memory,0.0,99.63,83.58,96.5,34911585,1746.329,75000,0.9936,2500,0,0,0.976,60
46,A1: No Link Memory,0.1,99.64,77.91,90.08,28445729,1423.036,75000,0.9936,2500,0,0,0.976,60
46,A1: No Link Memory,0.2,99.63,74.41,85.37,23981793,1199.84,75000,0.9936,2500,0,0,0.976,60
46,A1: No Link Memory,0.3,99.63,67.41,78.81,19410263,971.263,75000,0.9936,2500,0,0,0.976,60
46,A1: No Link Memory,0.4,99.63,61.47,72.97,16379592,819.73,75000,0.9936,2500,0,0,0.976,60
46,A1: No Link Memory,0.5,99.58,53.77,66.85,13190973,660.299,75000,0.9936,2500,0,0,0.976,60
46,A1: No Link Memory,0.6,99.61,53.84,64.43,12538029,627.651,75000,0.9936,2500,0,0,0.976,60
46,A1: No Link Memory,0.7,99.64,43.3,55.81,9176402,459.57,75000,0.9936,2500,0,0,0.976,60
46,A1: No Link Memory,0.8,99.59,39.53,51.97,7925214,397.011,75000,0.9936,2500,0,0,0.976,60
46,A2: No Compression,0.0,100.0,83.94,96.73,66023168,3301.158,0,1.0,0,0,0,1.0,0
46,A2: No Compression,0.1,100.0,75.15,85.73,48398018,2419.901,0,1.0,0,0,0,1.0,0
46,A2: No Compression,0.2,100.0,66.59,76.33,35879000,1793.95,0,1.0,0,0,0,1.0,0
46,A2: No Compression,0.3,100.0,54.57,65.85,25236673,1261.834,0,1.0,0,0,0,1.0,0
46,A2: No Compression,0.4,100.0,41.81,55.95,16876697,843.835,0,1.0,0,0,0,1.0,0
46,A2: No Compression,0.5,100.0,31.88,45.81,11253925,562.696,0,1.0,0,0,0,1.0,0
46,A2: No Compression,0.6,100.0,22.33,36.69,6944541,347.227,0,1.0,0,0,0,1.0,0
46,A2: No Compression,0.7,100.0,13.53,27.33,3619554,180.978,0,1.0,0,0,0,1.0,0
46,A2: No Compression,0.8,100.0,7.51,18.33,1596247,79.812,0,1.0,0,0,0,1.0,0
46,A3: No Relay Routing,0.0,99.63,83.58,96.5,34911585,1746.329,75000,0.9936,2500,0,0,0.976,60
46,A3: No Relay Routing,0.1,99.64,77.91,90.08,28445729,1423.036,75000,0.9936,2500,0,0,0.976,60
46,A3: No Relay Routing,0.2,99.63,74.41,85.37,23981793,1199.84,75000,0.9936,2500,0,0,0.976,60
46,A3: No Relay Routing,0.3,99.63,67.41,78.81,19410263,971.263,75000,0.9936,2500,0,0,0.976,60
46,A3: No Relay Routing,0.4,99.63,61.47,72.97,16379592,819.73,75000,0.9936,2500,0,0,0.976,60
46,A3: No Relay Routing,0.5,99.58,53.77,66.85,13190973,660.299,75000,0.9936,2500,0,0,0.976,60
46,A3: No Relay Routing,0.6,99.61,53.84,64.43,12538029,627.651,75000,0.9936,2500,0,0,0.976,60
46,A3: No Relay Routing,0.7,99.64,43.3,55.81,9176402,459.57,75000,0.9936,2500,0,0,0.976,60
46,A3: No Relay Routing,0.8,99.59,39.53,51.97,7925214,397.011,75000,0.9936,2500,0,0,0.976,60
46,A4: No Verification Gate,0.0,99.64,83.94,96.73,36093417,1805.421,75000,1.0,2500,0,0,1.0,0
46,A4: No Verification Gate,0.1,99.64,77.6,89.73,29026596,1452.08,75000,1.0,2500,0,0,1.0,0
46,A4: No Verification Gate,0.2,99.65,74.09,84.9,24282722,1214.886,75000,1.0,2500,0,0,1.0,0
46,A4: No Verification Gate,0.3,99.64,69.32,79.49,20721118,1036.806,75000,1.0,2500,0,0,1.0,0
46,A4: No Verification Gate,0.4,99.64,63.52,74.35,17483214,874.911,75000,1.0,2500,0,0,1.0,0
46,A4: No Verification Gate,0.5,99.63,55.41,67.36,13983309,699.915,75000,1.0,2500,0,0,1.0,0
46,A4: No Verification Gate,0.6,99.59,50.74,62.72,11987855,600.143,75000,1.0,2500,0,0,1.0,0
46,A4: No Verification Gate,0.7,99.64,44.51,57.26,9851929,493.346,75000,1.0,2500,0,0,1.0,0
46,A4: No Verification Gate,0.8,99.6,38.86,52.07,8047276,403.114,75000,1.0,2500,0,0,1.0,0
47,Full Agentic SLM,0.0,99.67,83.09,95.93,33433311,1672.416,75060,0.9933,2502,0,0,0.9692,77
47,Full Agentic SLM,0.1,99.66,77.57,90.03,27531248,1377.313,75060,0.9933,2502,0,0,0.9692,77
47,Full Agentic SLM,0.2,99.66,71.54,84.36,22187792,1110.14,75060,0.9933,2502,0,0,0.9692,77
47,Full Agentic SLM,0.3,99.67,66.28,78.74,18632133,932.357,75060,0.9933,2502,0,0,0.9692,77
47,Full Agentic SLM,0.4,99.61,61.56,74.04,16000890,800.795,75060,0.9933,2502,0,0,0.9692,77
47,Full Agentic SLM,0.5,99.64,53.96,66.54,12816472,641.574,75060,0.9933,2502,0,0,0.9692,77
47,Full Agentic SLM,0.6,99.66,50.88,62.84,11487113,575.106,75060,0.9933,2502,0,0,0.9692,77
47,Full Agentic SLM,0.7,99.67,44.46,57.17,9301923,465.847,75060,0.9933,2502,0,0,0.9692,77
47,Full Agentic SLM,0.8,99.63,37.48,51.25,7375063,369.504,75060,0.9933,2502,0,0,0.9692,77
47,A1: No Link Memory,0.0,99.7,81.52,95.5,32824659,1641.984,75060,0.9933,2502,0,0,0.9692,77
